Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2020/01/27,06,CA,06001,Alameda County,"318,725","1,352,604","5,942,935","1,766,314","1,520,526","648,911","761,416","915,480","272,252","39,590","11,785","3,431","3,230",06-06001-20200127,4,1
County,2020/01/27,06,CA,06075,San Francisco County,"233,437","648,112","2,710,502","934,022","748,311","350,074","375,585","201,017","76,202","17,470","3,956","1,780","2,085",06-06075-20200127,4,1
County,2020/01/27,06,CA,06081,San Mateo County,"148,762","617,811","2,641,993","788,255","675,241","301,711","369,089","377,107","98,865","19,899","7,175","2,002","2,649",06-06081-20200127,4,1
County,2020/01/27,06,CA,06085,Santa Clara County,"350,530","1,577,322","7,534,492","2,413,472","1,815,452","848,210","1,154,171","938,796","285,974","63,935","9,573","3,226","1,683",06-06085-20200127,4,1
County,2020/01/28,06,CA,06001,Alameda County,"314,550","1,356,779","6,057,179","1,784,985","1,529,686","675,156","778,323","958,076","274,272","39,231","11,275","3,141","3,034",06-06001-20200128,4,1
County,2020/01/28,06,CA,06075,San Francisco County,"236,387","645,162","2,832,371","986,205","792,615","360,353","375,024","206,719","84,692","18,495","3,955","1,548","2,765",06-06075-20200128,4,1
County,2020/01/28,06,CA,06081,San Mateo County,"144,502","622,071","2,718,952","800,452","694,699","322,111","379,392","392,272","100,940","18,929","5,600","2,126","2,431",06-06081-20200128,4,1
County,2020/01/28,06,CA,06085,Santa Clara County,"343,468","1,584,384","7,424,376","2,186,863","1,826,918","863,280","1,203,251","974,958","298,248","59,049","7,571","2,556","1,682",06-06085-20200128,4,1
County,2020/01/29,06,CA,06085,Santa Clara County,"340,474","1,587,378","7,427,751","2,193,481","1,839,983","857,052","1,188,384","979,782","295,322","60,519","8,689","2,840","1,699",06-06085-20200129,4,1
County,2020/01/29,06,CA,06081,San Mateo County,"147,755","618,818","2,788,984","829,096","707,805","329,569","389,314","404,389","101,664","17,415","5,040","2,139","2,553",06-06081-20200129,4,1
County,2020/01/29,06,CA,06075,San Francisco County,"231,849","649,700","2,807,472","978,225","766,712","372,427","385,952","199,005","81,930","16,006","3,630","1,160","2,425",06-06075-20200129,4,1
County,2020/01/29,06,CA,06001,Alameda County,"310,059","1,361,270","6,081,456","1,785,748","1,528,194","691,356","781,907","957,368","279,533","38,778","11,947","3,688","2,937",06-06001-20200129,4,1
County,2020/01/30,06,CA,06001,Alameda County,"310,854","1,360,475","5,877,367","1,683,307","1,438,467","661,006","757,149","951,320","305,023","51,797","15,645","6,240","7,413",06-06001-20200130,4,1
County,2020/01/30,06,CA,06075,San Francisco County,"230,559","650,990","2,675,962","908,319","718,043","341,853","371,152","210,751","90,585","21,545","5,981","2,882","4,851",06-06075-20200130,4,1
County,2020/01/30,06,CA,06081,San Mateo County,"148,043","618,530","2,684,870","788,775","687,819","294,254","366,794","398,958","111,525","20,719","8,356","3,125","4,545",06-06081-20200130,4,1
County,2020/01/30,06,CA,06085,Santa Clara County,"340,824","1,587,028","6,870,607","1,945,800","1,670,862","802,674","1,109,474","908,336","313,263","83,430","20,243","7,901","8,624",06-06085-20200130,4,1
County,2020/01/31,06,CA,06085,Santa Clara County,"333,283","1,594,569","7,356,993","2,098,987","1,855,427","872,057","1,148,506","925,645","322,159","91,163","24,973","8,242","9,834",06-06085-20200131,4,1
County,2020/01/31,06,CA,06081,San Mateo County,"142,377","624,196","2,802,653","826,996","727,933","309,294","391,208","390,312","112,420","24,383","12,500","3,305","4,302",06-06081-20200131,4,1
County,2020/01/31,06,CA,06075,San Francisco County,"226,637","654,912","2,833,360","974,917","763,461","362,041","380,894","219,809","86,059","26,817","9,719","3,585","6,058",06-06075-20200131,4,1
County,2020/01/31,06,CA,06001,Alameda County,"300,720","1,370,609","6,132,984","1,747,376","1,537,353","718,660","796,102","939,829","300,491","58,563","20,375","6,361","7,874",06-06001-20200131,4,1
County,2020/02/01,06,CA,06001,Alameda County,"333,919","1,337,410","5,805,155","1,679,156","1,538,976","692,574","712,253","816,786","268,542","62,161","20,837","6,442","7,428",06-06001-20200201,4,2
County,2020/02/01,06,CA,06075,San Francisco County,"234,721","646,828","2,796,164","963,676","753,747","352,076","372,261","228,688","81,153","27,561","8,181","3,310","5,511",06-06075-20200201,4,2
County,2020/02/01,06,CA,06081,San Mateo County,"155,338","611,235","2,689,951","778,054","721,023","322,756","354,373","347,404","116,140","29,245","13,901","3,009","4,046",06-06081-20200201,4,2
County,2020/02/01,06,CA,06085,Santa Clara County,"373,549","1,554,303","7,092,985","2,024,582","1,865,379","854,895","1,073,075","803,516","321,013","104,791","28,392","7,412","9,930",06-06085-20200201,4,2
County,2020/02/02,06,CA,06001,Alameda County,"375,723","1,295,606","4,994,239","1,402,771","1,336,918","603,121","622,494","689,379","242,454","59,575","22,904","6,504","8,119",06-06001-20200202,5,2
County,2020/02/02,06,CA,06075,San Francisco County,"250,305","631,244","2,466,157","847,353","665,176","303,369","315,032","206,701","80,866","28,633","9,136","3,860","6,031",06-06075-20200202,5,2
County,2020/02/02,06,CA,06081,San Mateo County,"175,483","591,090","2,290,269","670,104","607,269","264,259","299,817","305,551","95,754","26,560","13,372","3,877","3,706",06-06081-20200202,5,2
County,2020/02/02,06,CA,06085,Santa Clara County,"413,894","1,513,958","5,973,292","1,711,214","1,582,129","716,311","872,345","667,671","279,473","96,698","28,496","7,906","11,049",06-06085-20200202,5,2
County,2020/02/03,06,CA,06001,Alameda County,"324,079","1,347,250","5,601,851","1,615,461","1,376,750","641,365","698,341","900,587","289,824","47,644","17,059","6,149","8,671",06-06001-20200203,5,2
County,2020/02/03,06,CA,06075,San Francisco County,"237,050","644,499","2,599,519","902,406","684,427","329,332","355,481","199,769","89,308","21,479","8,383","2,780","6,154",06-06075-20200203,5,2
County,2020/02/03,06,CA,06081,San Mateo County,"151,460","615,113","2,597,000","755,713","663,222","295,586","352,105","381,836","107,319","22,686","10,604","3,454","4,475",06-06081-20200203,5,2
County,2020/02/03,06,CA,06085,Santa Clara County,"358,998","1,568,854","6,640,110","1,901,779","1,617,453","760,045","1,051,377","870,434","312,007","87,918","21,824","6,299","10,974",06-06085-20200203,5,2
