Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2019/03/26,06,CA,06001,Alameda County,372741,1298588,6472440,1865662,1612379,684555,853294,1070362,302633,44582,21061,7958,9954,06-06001-20190326,12,3
County,2019/03/27,06,CA,06001,Alameda County,367321,1304008,6847943,1976429,1739621,734867,901254,1128998,297443,41138,15035,5229,7929,06-06001-20190327,12,3
County,2019/03/27,06,CA,06075,San Francisco County,269549,612000,3185857,1085234,902500,401230,460217,224658,84567,15158,4820,2275,5198,06-06075-20190327,12,3
County,2019/03/27,06,CA,06085,Santa Clara County,396774,1531078,8480046,2395897,2149789,917374,1439079,1171330,313040,64935,14712,5259,8631,06-06085-20190327,12,3
County,2019/03/27,06,CA,06081,San Mateo County,162216,604357,3442153,1007529,914343,379774,500698,496085,113389,16504,6619,2149,5063,06-06081-20190327,12,3
County,2019/03/28,06,CA,06001,Alameda County,364181,1307148,6807225,1895473,1736167,722860,925980,1158939,297400,40338,17407,5250,7411,06-06001-20190328,12,3
County,2019/03/28,06,CA,06075,San Francisco County,268052,613497,3132983,1069244,872562,383844,458589,226299,91139,16922,6248,2205,5931,06-06075-20190328,12,3
County,2019/03/28,06,CA,06081,San Mateo County,158968,607605,3394405,955923,907643,378358,502864,498987,116856,17916,7614,2452,5792,06-06081-20190328,12,3
County,2019/03/28,06,CA,06085,Santa Clara County,389295,1538557,8340469,2255903,2123556,916794,1453323,1175098,319572,64657,16559,6265,8742,06-06085-20190328,12,3
County,2019/03/29,06,CA,06001,Alameda County,364086,1307243,6816426,1892204,1714214,759045,935197,1153106,283865,44657,20225,5816,8097,06-06001-20190329,12,3
County,2019/03/29,06,CA,06075,San Francisco County,272075,609474,3116640,1023201,858544,382875,492474,237947,87500,17748,7633,2557,6161,06-06075-20190329,12,3
County,2019/03/29,06,CA,06081,San Mateo County,161246,605327,3298912,900688,874055,373071,487093,511162,113084,18218,13130,2804,5607,06-06081-20190329,12,3
County,2019/03/29,06,CA,06085,Santa Clara County,388184,1539668,8193389,2192255,2060105,912736,1447003,1151490,324073,67655,21492,7153,9427,06-06085-20190329,12,3
County,2019/03/30,06,CA,06075,San Francisco County,273858,607691,3357933,1151320,929038,409470,500490,251288,79182,22055,7814,2428,4848,06-06075-20190330,12,3
County,2019/03/30,06,CA,06081,San Mateo County,167261,599312,3369331,959449,902974,380353,472074,473087,131336,28726,13657,3058,4617,06-06081-20190330,12,3
County,2019/03/30,06,CA,06085,Santa Clara County,406307,1521545,8356401,2275107,2171765,913617,1390828,1119486,361546,83994,25548,6214,8296,06-06085-20190330,12,3
County,2019/03/30,06,CA,06001,Alameda County,377614,1293715,6905086,1909208,1751828,792174,941304,1107533,311713,54759,22985,6028,7554,06-06001-20190330,12,3
County,2019/03/31,06,CA,06075,San Francisco County,268056,613493,3257942,1156269,865281,391693,475382,249161,76081,24420,11687,2634,5334,06-06075-20190331,13,3
County,2019/03/31,06,CA,06081,San Mateo County,167361,599212,3170553,879148,847037,344837,457157,453226,135996,29938,15331,2653,5230,06-06081-20190331,13,3
County,2019/03/31,06,CA,06085,Santa Clara County,407473,1520379,7933714,2210119,2093276,891726,1289182,969459,352130,82712,29439,6624,9047,06-06085-20190331,13,3
